업소명,위생등급제 가게,재방문률이 높은,최근에 자주가는,맛있는,가성비,깔끔하고 분위기가 좋은,신선한,친절한,혼밥,칠암동,가좌동
맛짱마라탕 칠암점,,,1,1,,1,,1,,1,
매료,,,,,,,,,,1,
메가엠지씨커피진주칠암점,,,,,,,,,,1,
멘탈비히클,,,,1,,1,,,1,,1
면만드는사람들(정촌신진주역점),,,,,,,,,,,1
명가충무김밥,,,,,,,,,,,
명랑핫도그경상대점,,,,,,,,,,,1
명물부대찌개,,,,,,,,,,1,
명샤브,,1,,,,,,,,1,
목넴기숯불갈비식육식당,,,,,,,,,,,
목요일오후네시,,1,,,,,,,,1,
몬트쿠키,,,,1,,,,1,,,1
무지개맥주,,,,,,,,,,,1
미뇽(Mignon),,,,,,,,,,1,
미미관마라탕경상대점,,,,,,,,,,,1
미인족발,,,,,,,,,,1,
미쳐버린파닭 경상대점,,,,,,,,,,,1
미향루,,,,,,,,,,,1
밀리오레김밥 앤 돈까스,,,,,,,,,,,1
밀밭수제비,,,,,,,,,,,1
밀플랜비 진주점,,,,,,,,,,,1
바르원 앤 밀면,,,,,,,,,,,1
바른주스,,1,,,,,1,,,1,
박가네솥뚜껑,,,,,,,,,,1,
반반스프링스커피 경대점,,1,,,,,,,,,1
반천촌국수,,,,1,,,,,,,1
밥풀릭스 가호점,,,,,,,,,,,1
배스킨라빈스 신진주역점,1,1,1,,,,,,,,1
배스킨라빈스진주경상대점,1,,,,,,,,,,1
배틀스타블랙PC방,,,,,,,,,,,1
배틀스타피씨방매점,,,,,,,,,,,1
백가네대구막창,,,,,,,,,,1,
백번집,,,,,,,,,,,1
백조품은오리,,,1,1,1,,,1,,1,
버거스테이지진주역점,1,,,,,,,,,,1
버거킹진주경상대점,,1,,,,,,,,,1
번개포차,,,1,1,1,,,1,,1,
벌집삼겹살,,,,,,,,,,,1
벌툰진주본점,,,,,,,,,,1,
베네치아(VENEZIA),,,,,,,,,,,1
베스킨라빈스산업대점,,,,,,,,,,1,
보애씨,,,,,,,,,,1,
복호식당,,,,,,,,,,,1
본도시락진주경상국립대점,,1,,,,,,,,1,
본죽,,,,,,,,,,1,
본죽앤비빔밥진주역점,,,,,,,,,,,1
본토비빔밥,,,,,,,,,,1,
봄들식당,,,,,,,,,,1,
봉구스 밥버거,,,,,,,,,,1,
봉구스밥버거,,,,,,,,,,,1
부산돼지국밥,,,,,,,,,,,1
부산돼지국밥,,,,,,,,,,1,
부산물회,,,,,,,,,,,
부산분식,,,,,,,,,,1,
부산장어,,,,,,,,,,,
북경양꼬치,,,,,,,,,,,1
분식쌀롱 가호점,,,,,,,,,,,1
불돈생돈산업대점,,,,,,,,,,1,
불막열삼 경상대점,,,,,,,,,,,1
불막열삼 신진주시티가좌점,,,,,,,,,,,1
불막열삼 진주칠암점,,,,,,,,,,1,
붐비나분식,,,,,,,,,,,
붕호땅,,1,,,,,,,,,1
브라운핸즈 라키비움 진주엠비씨점,,,,,,,,,,,1
브런치 앤 딘치,,1,,,,,,,,1,
블랙폼,,,1,1,,1,,1,,,1
블루리본컵케익(BLue RibBon CuPcAkEs),,,,,,,,,,,1
블루포트 연암공대점,,,,,,,,,,,1
블루포트경남과학기술대점,,,,,,,,,,1,
블루포트진주경상국립대학교병원점,,,,,,,,,,1,
비가오는 날엔,,,,,,,,,,,1
비금,,,,,,,1,,,1,
비비큐 신진주역점 (BBQ),1,,,,,,,,,,1
비비큐 치킨앤비어(칠암점),,,,,,,,,,1,
비비큐치킨가호점,,,,,,,,,,,1
비비피씨방 개양점,,,,,,,,,,,1
비샤몬텐,,,,,,,,,,,1
비에이치씨(BHC)신진주역점,1,,,,,,,,,,1
비에이치씨강남점,,,,,,,,,,,
비에이치씨경상대점,,,,,,,,,,,1
빅스타피자 진주강남점,,,,,,,,,,,
빌레이(Belay),,,,,,,,,,1,
빽다방 진주경상대후문점,1,1,1,,,,,,,,1
빽다방진주과기대점,,1,1,,,,,,,1,
빽다방진주역점,1,,1,,1,,,1,,,1
빽보이피자 진주가좌점,1,,,,,,,,,,1
사건의장소,,,,,,1,,1,,,1
사운드가든,,,,,,1,,,,,1
사월주가,,,,,,,,,,1,
사천냉면,,,,,,,,,,1,
산대쭈꾸미,,,,,,,,,,1,
산들호프,,,,,,,,,,1,
산울림식당,,,,,,,,,,,1
산청식육식당,,,,,,,,,,1,
삼삼밀면,,,,,,,,,,,1
삼성패밀리뷔페 돌잔치전문점,,,,,,,,,,,
삼천포실비,,,,,,,,,,,1
삼호반점,,,,,,,,,,,
상남자키친,,,,,,,,,,,1
상림기러기,,,,,,,,,,,1
상하이,1,,,,,,,,,1,
새마을식당,1,,,1,,,,1,,,1
색다른밥,,,,1,,,,1,,,
샌드데이,,,,,,,,,,,1
샐러든,,,,1,,,,,,1,
생활관관리동카페(생활관카페테리아),,,,,,,,,,,1
샤블리,,,,,,,,,,1,
서요 경상대점,,,1,1,,1,,1,,,1
서울냉면,,,,,,,,,,,1
서울설렁탕 경상대점,,,,,,,,,,,1
선학식당,,,,,,,,,,,
설빙(경상대점),,,,,,,,,,,1
성아콩세상웰빙밥상,1,,,,,,,,,1,
성진관,,,,,,,,,,1,
세렌디피티(SERENDIPITY),,,,,,,,,,1,
세븐일레븐진주동성카페점,,,,,,,,,,,
세븐일레븐진주율곡스퀘어점,,,,,,,,,,,1
세븐일레븐진주천전점,,,,,,,,,,1,
세연푸드 나드리김밥 진주경상대병원점,,,,,,,,,,1,
센트럴베이크샵(central bake shop),,,,,,,,,,,1
소문난반성장터국밥,,,,,,,,,,1,
소소커피,,,,,,,,,,,1
소우리,,,,,,,,,,1,
소우주,,,,,,,1,,,1,
소호스시,,,,,,1,1,1,,,1
손맛시대,,,,,,,,,,,
솥,,,,,,,,,,,1
솥밥갤러리,,,,1,,1,,,,1,
쇼우도우,,,,,,,,,,,1
수기김밥,,,,,,,,,,,
수내닭꼬치경상대점,,,,,,,,,,,1
수돈까스,,,,,,,,,,1,
수라간,,,,,,,,,,1,
수복포차,,,,,,,,,,,1
수유리우동집진주역점,,,,,,,,,,,1
수풀림 진주경상대점,,,,,,,,,,,1
수해복마라탕,,1,,,,,1,,,,1
수해복진주칠암점,,,,,,,,,,1,
순수덮밥 가호점,,,,,,,,,,,1
순이네,,,,,,,,,,1,
술이야안주야,,,,,,,,,,1,
스시수,,,1,,,,,1,,1,
스시캘리포니아 엠비씨네점,,,,,,,,,,,1
스시하루,,,,,,,,1,,,1
스타덤PC방진주과기대점,,,,,,,,,,1,
스타디움피씨카페(스타디움PC cafe),,,,,,,,,,,1
스타벅스 경상대칠암캠퍼스점,1,1,1,,,,,,,1,
스타벅스진주경상대점,1,1,1,,,1,,,,,1
스테이지우산,,,,,,,1,,,1,
스톡홀름샐러드,,,,,,,,,,,1
스튜디오꽃당,,,,,,,,,,,
시골집,,,,,,,,,,1,
시마다,,,,,,,,,,,1
시원복집,,,,,,,,,,,
시호일(是好日),,,,,,,,,,1,
신완뚝위드샤브,,,,,,,,,,,1
신전떡볶이과기대점,,1,,,,,,,,1,
