rest,Rest_id,alone,date,delicious,fresh,goodValue,hygiene,kindness,many,mood,parking,recent
등뼈가 진주경상대점,G110,44,0,156,0,127,0,55,0,0,0,0
등촌샤브칼국수 진주역점,G111,0,0,64,34,20,0,20,31,0,0,0
등촌샤브칼국수 진주칠암점,C59,0,0,224,115,0,0,97,130,0,0,89
디모라,G112,0,0,35,23,0,0,19,0,22,0,0
디어파이,C60,0,0,0,0,0,0,0,0,0,0,0
디저트39 진주경상대점,G113,0,0,311,1,54,32,45,1,30,1,40
디저트39 칠암캠퍼스점,C61,0,0,53,0,0,0,10,0,0,0,9
디토,C62,0,0,0,0,0,0,0,0,0,0,0
땡초김밥 가좌호탄점,G114,30,1,147,27,28,0,69,10,1,6,31
땡초닭강정 진주점,C63,1,0,8,1,0,0,1,0,2,0,0
떠무,C64,0,0,46,0,0,0,28,0,18,0,20
또봉이통닭 진주 호탄점,G115,7,0,30,15,26,1,18,13,4,2,8
또봉이통닭 진주칠암점,C65,0,0,0,0,0,0,0,0,0,0,0
또오리식육식당 진주가좌동점,G116,4,0,671,716,247,17,248,176,135,14,161
똥꼬 과기대점,C66,0,0,6,0,7,1,8,2,1,1,7
뚜레쥬르 진주호탄점,G117,28,0,345,150,377,15,97,54,202,3,53
뚱보화로불고기 칠암점,C67,0,0,231,0,18,3,83,0,4,6,36
뚱칼국시,G118,1,5,111,32,25,0,30,40,1,24,6
라꼬크,C68,0,0,0,0,0,0,0,0,0,0,0
라맛쿵부 경상대점,G119,13,1,77,34,44,2,24,7,3,2,12
라이,G120,0,0,5,0,6,4,4,0,0,0,3
라쿵푸마라탕 진주점,C69,0,0,764,452,213,0,208,201,0,0,0
라튤립,G121,0,0,146,0,1,27,43,0,51,0,11
라프,C70,0,0,101,0,0,0,30,0,22,0,17
라화쿵부 진주경상대점,G122,39,0,165,62,31,0,39,0,0,0,0
런던키친,G123,0,0,98,18,0,0,29,0,24,0,19
레도커피,G124,0,0,468,0,46,54,116,0,184,7,72
레드브릭하우스,C71,0,0,196,0,0,0,71,0,124,0,0
레이지독,C72,0,0,667,0,0,0,168,0,298,0,0
로뎀주스,G125,0,0,0,0,0,0,0,0,0,0,0
로만,G126,3,7,84,72,18,17,47,21,75,2,23
로스터리카페 뜰,G127,0,0,65,0,1,40,16,0,31,2,14
로스팅웨어,G128,0,0,3440,0,66,322,296,157,1843,318,507
로우로우,G129,1,0,435,0,8,54,104,0,227,0,46
로티보이 경상대병원점,C73,0,0,0,0,0,0,0,0,0,0,0
롯데리아 경상대학점,G130,131,0,385,0,121,0,113,129,0,0,0
루,G131,25,3,107,41,69,1,58,8,8,17,33
루씨르,G132,1,0,273,0,20,84,82,0,20,0,15
류센소 진주점,G133,52,4,156,70,58,15,75,19,67,0,51
류헤이,G134,704,20,1325,503,800,50,586,102,519,19,411
리멤버,G135,0,0,0,0,0,0,0,0,0,0,0
림메이크,C74,0,0,76,0,30,0,42,0,0,0,0
립합라운지펍,G136,0,0,0,0,0,0,0,0,0,0,0
마가리타,G137,0,0,50,0,0,0,47,0,100,0,0
마라제국,G138,0,0,132,63,86,0,34,0,0,0,0
마망구떼,C75,0,0,160,0,0,0,28,0,0,0,0
마왕족발 진주경상대점,G139,0,0,48,11,14,0,17,0,0,0,0
마해아구찜,G140,0,0,18,10,4,0,11,0,0,0,6
만나분식,G141,3,0,13,0,9,0,3,0,0,0,0
만나원,C76,0,0,77,24,13,0,23,0,0,0,0
만복국수집 진주호탄점,G142,2,0,36,13,11,3,13,2,2,0,9
만성각,G143,7,0,42,14,21,0,35,17,3,4,7
만장어탕,G144,1,0,39,27,11,0,15,3,0,1,14
맘스터치 진주경상대점,G145,94,0,315,0,92,0,82,108,0,0,0
맘스터치 진주과기대점,C77,48,0,224,59,50,0,70,0,0,0,0
맘스터치 피자앤치킨 진주역점,G146,0,0,0,0,0,0,0,0,0,0,0
맛나국수,G147,45,1,85,43,112,1,71,2,4,2,42
맛있는 착한고기 경상대점,G148,0,0,392,219,464,0,0,162,0,0,0
맛있는 착한고기 칠암직영점,C78,0,0,73,58,66,0,19,0,0,0,0
맛있으면돼지,G149,0,0,15,10,2,0,12,0,0,0,3
맛짱마라탕 칠암점,C79,98,0,271,243,0,0,147,0,0,0,128
매료식당,C80,3,12,88,13,38,4,14,10,57,0,5
맥도날드 진주가좌DT점,G150,434,15,1116,255,536,7,435,484,80,465,336
먹을만한다찌,G151,0,0,0,0,0,0,0,0,0,0,0
메가MGC커피 진주가좌점,G152,0,0,158,0,73,0,41,0,0,0,27
메차쿠차 호탄점,G153,7,0,21,5,12,0,10,6,2,1,1
멕시카나치킨 가호점,G154,0,0,15,5,9,0,3,0,0,0,1
멘탈 비히클,G155,0,0,364,0,93,0,139,0,114,0,0
면 만드는  사람들,G156,0,0,200,93,75,0,146,0,0,0,78
명랑핫도그 진주경상대점,G157,16,0,172,10,59,0,61,4,3,4,10
명륜진사갈비 진주호탄점,G158,1,8,134,73,161,0,65,70,8,2,49
명물부대찌개,C81,0,0,180,28,109,0,70,0,0,0,0
명샤브,C82,85,0,157,85,64,0,55,0,0,0,0
명인칼국수만두,G159,0,0,0,0,0,0,0,0,0,0,0
모던,G160,0,0,0,0,0,0,0,0,0,0,0
모먼트홀덤스타디움,G161,0,0,0,0,0,0,0,0,0,0,0
모티집,G162,0,0,10,12,10,3,2,0,0,0,0
목요일 오후 네 시,C83,0,0,79,0,0,0,25,0,19,0,0
몬커피,G163,0,0,579,2,44,65,108,0,159,1,37
몬트쿠키 진주점,G164,0,0,170,2,23,6,89,0,59,1,63
무공돈까스 진주칠암점,C84,182,0,532,212,267,0,158,0,0,0,0
무지개맥주 경상대점,G165,0,0,62,0,24,0,32,0,0,0,0
물텀벙아구찜,G166,0,0,7,1,7,0,5,2,0,0,0
미노소바,C85,0,0,71,0,38,0,40,0,39,0,22
미뇽,C86,0,0,0,0,0,0,0,0,0,0,0
미닛케이크,C87,0,0,402,0,0,0,308,0,0,0,138
미미관마라탕 진주경상대점,G167,19,0,64,31,21,0,0,0,0,0,21
미소부엌 가좌점,G168,0,0,1047,787,283,0,351,0,289,0,0
미송카페,C88,0,0,18,21,7,0,15,0,0,0,10
미양샤브,C89,0,0,15,0,7,0,4,8,4,0,0
미진축산 진주호탄점,G169,0,0,0,0,0,0,0,0,0,0,0
미쭐,C90,0,0,0,0,0,0,0,0,0,0,0
미쳐버린파닭 진주경상대점,G170,0,0,17,0,6,7,0,0,11,0,0
미향루,G171,25,1,88,55,31,2,34,13,5,4,27
밀리오레김밥앤돈까스,G172,4,1,19,5,15,0,9,1,1,1,1
밀밭수제비,G173,32,1,95,23,107,0,34,0,1,0,7
밀플랜비진주점,G174,12,0,18,0,13,0,9,0,0,0,0
바다가,G175,0,0,23,14,14,0,8,5,2,0,0
바르원 & 밀면,G176,26,0,129,22,66,0,0,0,0,0,0
바질리코 진주,G177,0,0,455,0,47,0,180,0,0,0,156
박가네돼지순대국밥,G178,1,27,159,83,33,12,79,66,94,70,61
박가네솥뚜껑,C91,9,0,44,14,34,0,8,9,0,6,3
반반스프링스커피 경대점,G179,0,0,0,0,0,0,0,0,0,0,0
